a	aa
was	w AA z
wash	w AA sh
washed	w AA sh T
washerman	w AA sh aa r m aa n
washing	w AA sh ii ng
washington	w AA sh ii ng T aa n
washman	w AA sh m aa n
washroom	w AA sh r UU m
wasn't	w AA z aa n T
waste	w ee s T
wasting	w ee s T ii ng
watch	w AA c
watched	w AA c T
watching	w AA c ii ng
water	w OO T aa r
watered	w OO T aa r D
waterfalls	w OO T aa r f OO l z
waters	w OO T aa r z
waterseed	w OO T aa r s ex D
watt	w AA T
wave	w ee v
waves	w ee v z
waving	w ee v ii ng
waxy	w ae k s II
way	w ee
ways	w ee z
we	w II
we'll	w II l
we're	w II r
we've	w II v
weak	w II k
weaken	w II k aa n
weaker	w II k aa r
wealth	w ex l th
weapons	w ex p aa n z
wear	w ex r
wearing	w ex r ii ng
weather	w ex d aa r
weaving	w II v ii ng
web	w ex b
webbed	w ex b D
webs	w ex b z
wed	w ex D
wedding	w ex D ii ng
weddings	w ex D ii ng z
wedged	w ex j D
weed	w II D
weeds	w II D z
week	w II k
weekends	w II k ex n D z
weeks	w II k s
weight	w ee T
welcome	w ex l k aa m
weld	w ex l D
well	w ex l
wens	w ex n z
went	w ex n T
wept	w ex p T
werdick	w aa r D ii k
were	w aa r
weren't	w aa r aa n T
west	w ex s T
western	w ex s T aa r n
wet	w ex T
wetness	w ex T n aa s
whale	w ee l
whales	w ee l z
what	w aa T
what's	w aa T s
whatever	w aa T ex v aa r
whats	w aa T s
wheat	w II T
wheel	w II l
wheels	w II l z
when	w ex n
whenever	w ex n ex v aa r
where	w ex r
whether	w ex d aa r
which	w ii c
while	w ay l
whiles	w ay l z
whip	w ii p
whipped	w ii p T
whiskers	w ii s k aa r z
whispered	w ii s p aa r D
whispering	w ii s p aa r ii ng
whistle	w ii s aa l
whistling	w ii s l ii ng
white	w ay T
who	hh UU
who's	hh UU z
whole	hh oo l
whom	hh UU m
whose	hh UU z
why	w ay
wicked	w ii k aa D
wide	w ay D
widely	w ay D l II
wider	w ay D aa r
wife	w ay f
wife's	w ay f s
wig	w ii g
wiggled	w ii g aa l D
wigs	w ii g z
wild	w ay l D
wilderness	w ii l D aa r n aa s
wildly	w ay l D l II
will	w ii l
willing	w ii l ii ng
willow	w ii l oo
wills	w ii l z
wilt	w ii l T
win	w ii n
wind	w ay n D
windly	w ii n D l II
window	w ii n D oo
windows	w ii n D oo z
winds	w ii n D z
wine	w ay n
wing	w ii ng
wings	w ii ng z
winked	w ii ng k T
winning	w ii n ii ng
wins	w ii n z
winter	w ii n T aa r
wiped	w ay p T
wisdom	w ii z D aa m
wise	w ay z
wisely	w ay z l II
wiser	w ay z aa r
wish	w ii sh
wished	w ii sh T
wishing	w ii sh ii ng
wit	w ii T
wit's	w ii T s
witch	w ii c
with	w ii d
within	w ii d ii n
without	w ii th aw T
witness	w ii T n aa s
witnesses	w ii T n aa s aa z
woke	w oo k
woken	w oo k aa n
woking	w oo k ii ng
wole	w oo l
wolf	w uu l f
wolve	w oo l v
wolves	w uu l v z
woman	w uu m aa n
women	w ii m aa n
women's	w ii m aa n z
won	w aa n
won't	w oo n T
wonder	w aa n D aa r
wondered	w aa n D aa r D
wonderful	w aa n D aa r f aa l
wonderland	w aa n D aa r l ae n D
wonders	w aa n D aa r z
wont	w oo n T
wood	w uu D
woodcutter	w uu D k aa T aa r
woodman	w uu D m aa n
woods	w uu D z
woodsman	w uu D z m ae n
woof	w UU f
wool	w uu l
word	w aa r D
words	w aa r D z
wore	w OO r
work	w aa r k
worked	w aa r k T
worker	w aa r k aa r
workers	w aa r k aa r z
working	w aa r k ii ng
workroom	w aa r k r UU m
works	w aa r k s
workshop	w aa r k sh AA p
worktable	w aa r k T ae b aa l
world	w aa r l D
world's	w aa r l D z
worms	w aa r m z
worried	w aa r II D
worry	w aa r II
worrying	w aa r II ii ng
worse	w aa r s
worst	w aa r s T
worth	w aa r th
worthwhile	w aa r th w ay l
worthy	w aa r d II
would	w uu D
wouldn't	w uu D aa n T
wounded	w UU n D aa D
wove	w oo v
woven	w oo v aa n
wow	w aw
wrand	r ae n D
wrapped	r ae p T
write	r ay T
writes	r ay T s
writing	r ay T ii ng
written	r ii T aa n
wrong	r OO ng
wrongly	r OO ng l II
wrote	r oo T
x	ex k s
y	w ay
ya	y AA
yak	y ae k
yamuna	y aa m UU n aa
yard	y AA r D
yards	y AA r D z
yawned	y OO n D
yawning	y OO n ii ng
yay	y ee
yeah	y ae
year	y ii r
yearly	y ii r l II
years	y ii r z
yeh	y ex
yellow	y ex l oo
yes	y ex s
yesterday	y ex s T aa r D ee
yet	y ex T
yog	y AA g
you	y UU
you'll	y UU l
you're	y uu r
young	y aa ng
younger	y aa ng g aa r
your	y OO r
yours	y uu r z
yourself	y aa r s ex l f
youth	y UU th
youths	y UU d z
yum	y aa m
yummy	y aa m II
yup	y aa p
z	z II
zebra	z II b r aa
zebras	z II b r aa z
zippy	z ii p II
zippy's	z ii p II z
zone	z oo n
zoo	z UU
zoom	z UU m
zoos	z UU z
अ	aa
अँगी	aa q g II
अँट	aa q T
अँटी	aa q T II
अँड	aa q D
अँडी	aa q D II
अँसीन	aa q s II n
अं	aa q
अंकिता	aa q k ii t AA
अंकड़	aa q k aa D
अंग्री	aa q g r II
अंटर	aa q T aa r
अंटल	aa q T aa l
अंटली	aa q T aa l II
अंटलीन	aa q T aa l II n
अंटी	aa q T II
अंटील	aa q T II l
अंडअ	aa q D aa
अंडटेकिंग	aa q D aa T ee k ii q g
अंडर	aa q D aa r
अंडे	aa q D ee
अंडेर	aa q D ee r
अंत	aa q t
अंतिल	aa q t ii l
अंद	aa q d
अंदर	aa q d aa r
अंदेस	aa q d ee s
अंधे	aa q dh ee
अंधेश	aa q dh ee sh
अंबा	aa q b AA
अंबुटेट	aa q b uu T ee T
अउर	aa uu r
अएपिस	aa ee p ii s
अएफ	aa ee ph
अओर	aa oo r
अक	aa k
अक़	aa k
अकाउंट	aa k AA uu q T
अकार	aa k AA r
अकिंग	aa k ii q g
अकित	aa k ii t
अकेम	aa k ee m
अक्रॉ	aa k r OO
अक्रो	aa k r oo
अक्श्द	aa k sh d
अक्षर	aa k sh aa r
अक्स	aa k s
अक्सर	aa k s aa r
अक्सिकेड	aa k s ii k ee D
अग	aa g
अगर	aa g aa r
अगरड़	aa g aa r aa D
अगली	aa g aa l II
अगले	aa g aa l ee
अगेदर	aa g ee d aa r
अगेन	aa g ee n
अगेन्स्ट	aa g ee n s T
अगेर्ड	aa g ee r D
अग्रीट	aa g r II T
अग्रे	aa g r ee
अग्रेंड	aa g r ee q D
अग्रेटेड	aa g r ee T ee D
अग्रेड	aa g r ee D
अग्रेव	aa g r ee w
अग्सड	aa g s aa D
अच	aa c
अचा	aa c AA
अचानक	aa c AA n aa k
अच्छ	aa c ch
अच्छा	aa c ch AA
अच्छी	aa c ch II
अच्छे	aa c ch ee
अज	aa j
अजब	aa j aa b
अजय	aa j aa y
अजीब	aa j II b
अट	aa T
अटरडे	aa T aa r aa D ee
अटॅ	aa T ae
अटॅच्ड	aa T ae c D
अट्	aa T
अट्या	aa T y AA
अट्यागिस	aa T y AA g ii s
अट्याटिंग	aa T y AA T ii q g
अट्रेंटिंगलि	aa T r ee q T ii q g aa l ii
अट्स	aa T s
अठ	aa Th
अठारह	aa Th AA r aa hh
अड	aa D
अडर	aa D aa r
अड़	aa D
अणि	aa N ii
अद	aa d
अदा	aa d AA
अदेश	aa d ee sh
अधर	aa dh aa r
अधिक	aa dh ii k
अधेस	aa dh ee s
अन	aa n
अनम	aa n aa m
अनवर	aa n aa w aa r
अनवेर	aa n aa w ee r
अनस्लिथ	aa n aa s l ii th
अना	aa n AA
अनाब	aa n AA b
अनि	aa n ii
अनिठिंग	aa n ii Th ii q g
अनी	aa n II
अनुभव	aa n uu bh aa w
अने	aa n ee
अनोंग	aa n oo q g
अनोट	aa n oo T
अनोथर	aa n oo th aa r
अनोदर	aa n oo d aa r
अनोयडेड	aa n oo y aa D ee D
अन्	aa n
अन्टल	aa n T aa l
अन्ड	aa n D
अन्दर	aa n d aa r
अन्न	aa n n
अन्माने	aa n m AA n ee
अन्सो	aa n s oo
अप	aa p
अपउन	aa p uu n
अपड	aa p aa D
अपन	aa p aa n
अपना	aa p aa n AA
अपनि	aa p aa n ii
अपनिल	aa p aa n ii l
अपनी	aa p aa n II
अपने	aa p aa n ee
अपर	aa p aa r
अपर्ड	aa p aa r D
अपस्ट्रेम	aa p aa s T r ee m
अपस्ड	aa p aa s D
अपिया	aa p ii y AA
अपूर्व	aa p UU r w
अपॉइन्टिड	aa p OO ii n T ii D
अपॉर्चिट	aa p OO r c ii T
अपो	aa p oo
अपोइंतेद	aa p oo ii q t ee d
अपोच	aa p oo c
अपोर्च	aa p oo r c
अपोर्चड	aa p oo r c aa D
अप्प्रोस्ट	aa p p r oo s T
अप्र	aa p r
अप्रिसियेशन	aa p r ii s ii y ee sh aa n
अप्रुच	aa p r uu c
अप्रॉच	aa p r OO c
अप्रॉट	aa p r OO T
अप्रोऍज	aa p r oo ae j
अप्रोस्ट	aa p r oo s T
अफ	aa ph
अफेईड	aa ph ee II D
अफेक	aa ph ee k
अफेट	aa ph ee T
अफेड	aa ph ee D
अफेस	aa ph ee s
अफोइन्स	aa ph oo ii n s
अफ्ट	aa ph T
अफ्टुड	aa ph T uu D
अफ्थर	aa ph th aa r
अब	aa b
अबाउंस्ट	aa b AA uu q s T
अबाउड	aa b AA uu D
अबेंस	aa b ee q s
अबेन्स	aa b ee n s
अबॉइन्ड	aa b OO ii n D
अबो	aa b oo
अभी	aa bh II
अम	aa m
अमन	aa m aa n
अमर	aa m aa r
अमल	aa m aa l
अमे	aa m ee
अमेजिट	aa m ee j ii T
अमेज़ड	aa m ee z aa D
अम्बो	aa m b oo
अयसा	aa y aa s AA
अर	aa r
अरंच	aa r aa q c
अरा	aa r AA
अराउ	aa r AA uu
अराउन	aa r AA uu n
अरिंग	aa r ii q g
अरे	aa r ee
अरेड	aa r ee D
अरेष्टेट	aa r ee sh T ee T
अरोज्	aa r oo j
अल	aa l
अलंग	aa l aa q g
अलग	aa l aa g
अला	aa l AA
अलाउन	aa l AA uu n
अलाउस	aa l AA uu s
अलिए	aa l ii ee
अलिबिय	aa l ii b ii y
अलिब्यर	aa l ii b y aa r
अलॉग	aa l OO g
अलो	aa l oo
अल्क	aa l k
अल्ट्न	aa l T n
अल्ड	aa l D
अल्बामा	aa l b AA m AA
अल्ला	aa l l AA
अल्शो	aa l sh oo
अव	aa w
अवदे	aa w aa d ee
अवदेश	aa w aa d ee sh
अवने	aa w aa n ee
अवरत	aa w aa r aa t
अवल	aa w aa l
अवि	aa w ii
अविडिस	aa w ii D ii s
अविस	aa w ii s
अवुर	aa w uu r
अवेज	aa w ee j
अवेद	aa w ee d
अवैबलेबल	aa w ee b aa l ee b aa l
अव्लिबल	aa w l ii b aa l
अव्ह	aa w hh
अव्हेल	aa w hh ee l
अस	aa s
असर	aa s aa r
असली	aa s aa l II
असाता	aa s AA t AA
असीडन्स	aa s II D aa n s
असे	aa s ee
असेड	aa s ee D
असेम्बड	aa s ee m b aa D
असो	aa s oo
असोड्	aa s oo D
अस्क	aa s k
अस्का	aa s k AA
अस्कि	aa s k ii
अस्किड	aa s k ii D
अस्कीज	aa s k II j
अस्कीट	aa s k II T
अस्के	aa s k ee
अस्केट	aa s k ee T
अस्केड	aa s k ee D
अस्क्ट	aa s k T
अस्क्ड	aa s k D
अस्क्रेनेड	aa s k r ee n ee D
अस्ट	aa s T
अह	aa hh
अहत	aa hh aa t
अहि	aa hh ii
अहिज	aa hh ii j
अॅ	ae
अॅँग्रेड	ae q g r ee D
अॅक	ae k
अॅकरॉ	ae k aa r OO
अॅग	ae g
अॅटजीट्स	ae T aa j II T s
अॅट्स	ae T s
अॅडवजाइट	ae D aa w aa j AA ii T
अॅत	ae t
अॅप्रॉच	ae p r OO c
अॅबिट	ae b ii T
अॅस्किडेंट्स	ae s k ii D ee q T s
अफ़ोफ	aa f oo ph
अ‍ॅ	ae
अ‍ॅक	ae k
अ‍ॅकरॉ	ae k aa r OO
अ‍ॅक्टिविट्लि	ae k T ii w ii T l ii
अ‍ॅक्टी	ae k T II
अ‍ॅक्ताइंग	ae k t AA ii q g
अ‍ॅक्रे	ae k r ee
अ‍ॅक्रोसंस	ae k r oo s aa q s
अ‍ॅगेत	ae g ee t
अ‍ॅग्रीस	ae g r II s
अ‍ॅटर	ae T aa r
अ‍ॅटॅन्गिंग	ae T ae n g ii q g
अ‍ॅड	ae D
अ‍ॅड्वाइ	ae D w AA ii
अ‍ॅत	ae t
अ‍ॅताय	ae t AA y
अ‍ॅन	ae n
अ‍ॅनमोर	ae n aa m oo r
अ‍ॅनाय	ae n AA y
अ‍ॅनिमस	ae n ii m aa s
अ‍ॅनियड	ae n ii y aa D
अ‍ॅनिये	ae n ii y ee
अ‍ॅने	ae n ee
अ‍ॅनॉट	ae n OO T
अ‍ॅनो	ae n oo
अ‍ॅनोओकियन	ae n oo oo k ii y aa n
अ‍ॅनोटेड	ae n oo T ee D
अ‍ॅन्ग	ae n g
अ‍ॅन्ग्यर	ae n g y aa r
अ‍ॅन्ग्रिश	ae n g r ii sh
अ‍ॅन्स	ae n s
अ‍ॅप	ae p
अ‍ॅपे	ae p ee
अ‍ॅप्रु	ae p r uu
अ‍ॅप्रॉच	ae p r OO c
अ‍ॅप्रोचेड	ae p r oo c ee D
अ‍ॅप्लिअड	ae p l ii aa D
अ‍ॅब	ae b
अ‍ॅब्स	ae b s
अ‍ॅब्से	ae b s ee
अ‍ॅम	ae m
अ‍ॅम्बॅरयेस	ae m b ae r aa y ee s
अ‍ॅम्बॅरिजम	ae m b ae r ii j aa m
अ‍ॅम्बॅरिस	ae m b ae r ii s
अ‍ॅम्बॅरेंस	ae m b ae r ee q s
अ‍ॅम्बॅरेजेड	ae m b ae r ee j ee D
अ‍ॅम्बॅरेब	ae m b ae r ee b
अ‍ॅम्बॅरेस्ट	ae m b ae r ee s T
अ‍ॅम्ब्रेस्ट	ae m b r ee s T
अ‍ॅम्ब्रेस्टेट	ae m b r ee s T ee T
अ‍ॅम्स	ae m s
अ‍ॅलग	ae l aa g
अ‍ॅलिस	ae l ii s
अ‍ॅलेस	ae l ee s
अ‍ॅव	ae w
अ‍ॅवेन्स	ae w ee n s
अ‍ॅसेड	ae s ee D
अ‍ॅस्क	ae s k
अ‍ॅस्किडेंट्स	ae s k ii D ee q T s
अ‍ॅस्केड	ae s k ee D
अ‍ॅस्टेन्डड	ae s T ee n D aa D
अ‍ॅ‍प्रोच्लि	ae p r oo c l ii
आ	AA
आँ	AA q
आँके	AA q k ee
आँख	AA q kh
आँखे	AA q kh ee
आँखें	AA q kh ee q
आँखो	AA q kh oo
आँखों	AA q kh oo q
आँगे	AA q g ee
आँसु	AA q s uu
आँसू	AA q s UU
आंखे	AA q kh ee
आंग	AA q g
आंगे	AA q g ee
आंट	AA q T
आंड	AA q D
आंदेश	AA q d ee sh
आंधे	AA q dh ee
आंब्याच्या	AA q b y AA c y AA
आइज	AA ii j
आइट	AA ii T
आइदरली	AA ii d aa r aa l II
आइप्	AA ii p
आइस	AA ii s
आई	AA II
आईं	AA II q
आईचा	AA II c AA
आउ	AA uu
आउंटर	AA uu q T aa r
आउकसाइक	AA uu k aa s AA ii k
आउटकम	AA uu T aa k aa m
आउर	AA uu r
आउस	AA uu s
आऊ	AA UU
आऊँगी	AA UU q g II
आऊस	AA UU s
आए	AA ee
आएंगे	AA ee q g ee
आएगा	AA ee g AA
आएगी	AA ee g II
आएट	AA ee T
आओ	AA oo
आक	AA k
आकर	AA k aa r
आकार	AA k AA r
आकाशड	AA k AA sh aa D
आके	AA k ee
आकेलि	AA k ee l ii
आक्श्ट	AA k sh T
आक्स	AA k s
आक्सड	AA k s aa D
आक्सेड	AA k s ee D
आक्स्च	AA k s c
आक्स्ड	AA k s D
आखो	AA kh oo
आखों	AA kh oo q
आग	AA g
आगरिड	AA g aa r ii D
आगा	AA g AA
आगि	AA g ii
आगे	AA g ee
आगेसे	AA g ee s ee
आग्स	AA g s
आच	AA c
आछ	AA ch
आज	AA j
आजकल	AA j aa k aa l
आजय	AA j aa y
आजाए	AA j AA ee
आझ	AA jh
आट	AA T
आड	AA D
आण	AA N
आणि	AA N ii
आणू	AA N UU
आत	AA t
आता	AA t AA
आती	AA t II
आते	AA t ee
आतेश्ट	AA t ee sh T
आत्मा	AA t m AA
आत्माएं	AA t m AA ee q
आत्माओं	AA t m AA oo q
आद	AA d
आदत	AA d aa t
आदमी	AA d aa m II
आदर्स	AA d aa r s
आदाश	AA d AA sh
आदे	AA d ee
आदेश	AA d ee sh
आदेशा	AA d ee sh AA
आदेस	AA d ee s
आन	AA n
आनदेस	AA n aa d ee s
आना	AA n AA
आनि	AA n ii
आने	AA n ee
आन्स	AA n s
आन्सर	AA n s aa r
आप	AA p
आपका	AA p aa k AA
आपकी	AA p aa k II
आपके	AA p aa k ee
आपको	AA p aa k oo
आपने	AA p aa n ee
आपसे	AA p aa s ee
आप्तर	AA p t aa r
आफर	AA ph aa r
आबू	AA b UU
आभूषणों	AA bh UU sh aa N oo q
आम	AA m
आमतौर	AA m aa t OO r
आय	AA y
आयक	AA y aa k
आयटन्स	AA y aa T aa n s
आयन	AA y aa n
आया	AA y AA
आयाम	AA y AA m
आये	AA y ee
आयेंगे	AA y ee q g ee
आयेशाज	AA y ee sh AA j
आर	AA r
आराम	AA r AA m
आरेन्ट	AA r ee n T
आर्त	AA r t
आर्मे	AA r m ee
आर्ल	AA r l
आल	AA l
आलसो	AA l aa s oo
आला	AA l AA
आलासी	AA l AA s II
आलू	AA l UU
आल्सो	AA l s oo
आव	AA w
आवत	AA w aa t
आवरत	AA w aa r aa t
आवुर	AA w uu r
आशमान	AA sh aa m AA n
आशा	AA sh AA
आशिआ	AA sh ii AA
आशीर्वाद	AA sh II r w AA d
आश्कड	AA sh k aa D
आश्ट	AA sh T
आष्ट	AA sh T
आस	AA s
आसकड	AA s aa k aa D
आसकेड	AA s aa k ee D
आसकेस	AA s aa k ee s
आसटेप	AA s aa T ee p
आसपास	AA s aa p AA s
आसमा	AA s aa m AA
आसमान	AA s aa m AA n
आसमानी	AA s aa m AA n II
आस्कड	AA s k aa D
आस्कद	AA s k aa d
आस्किट	AA s k ii T
आस्किड	AA s k ii D
आस्कीड	AA s k II D
आस्के	AA s k ee
आस्केट	AA s k ee T
आस्केड	AA s k ee D
आस्केम	AA s k ee m
आस्क्ट	AA s k T
आस्क्ड	AA s k D
आस्क्सा	AA s k s AA
आस्ट	AA s T
आस्टड	AA s T aa D
आहे	AA hh ee
आॅल्स	AA ae l s
इ	ii
इं	ii q
इंग	ii q g
इंग्लिश	ii q g l ii sh
इंग्लैंड	ii q g l ee q D
इंज	ii q j
इंजय	ii q j aa y
इंजल्	ii q j aa l
इंजश	ii q j aa sh
इंजाम	ii q j AA m
इंजीशियासस	ii q j II sh ii y AA s aa s
इंजुरेड	ii q j uu r ee D
इंजेशंस	ii q j ee sh aa q s
इंजो	ii q j oo
इंट	ii q T
इंटजाम	ii q T aa j AA m
इंटरनेट	ii q T aa r aa n ee T
इंटर्न्ड	ii q T aa r n D
इंटिंग	ii q T ii q g
इंटिलीजन्ट	ii q T ii l II j aa n T
इंटे	ii q T ee
इंटेंशन	ii q T ee q sh aa n
इंट्रेलिजे	ii q T r ee l ii j ee
इंडेक्स	ii q D ee k s
इंड्रेज	ii q D r ee j
इंत	ii q t
इंतज	ii q t aa j
इंतजा	ii q t aa j AA
इंतजान	ii q t aa j AA n
इंतजाम	ii q t aa j AA m
इंतजामा	ii q t aa j AA m AA
इंतजार	ii q t aa j AA r
इंतझार	ii q t aa jh AA r
इंत्रजाम	ii q t r aa j AA m
इंथो	ii q th oo
इंथोज्या	ii q th oo j y AA
इंथ्युसिस्टिकलि	ii q th y uu s ii s T ii k aa l ii
इंदजात	ii q d aa j AA t
इंन्जे	ii q n j ee
इंप्रु	ii q p r uu
इंलिड्लि	ii q l ii D l ii
इंस	ii q s
इंस्टा	ii q s T AA
इंस्टेर	ii q s T ee r
इइ	ii ii
इउस	ii uu s
इक	ii k
इकोनेन्ट	ii k oo n ee n T
इक्वली	ii k w aa l II
इग्ल	ii g l
इच	ii c
इछ	ii ch
इज	ii j
इज़	ii j
इजा	ii j AA
इज्जत	ii j j aa t
इज्वलि	ii j w aa l ii
इट	ii T
इटनिग	ii T aa n ii g
इटर	ii T aa r
इटेड	ii T ee D
इटेद	ii T ee d
इड	ii D
इडीन्ट	ii D II n T
इत	ii t
इतजान	ii t aa j AA n
इतजाम	ii t aa j AA m
इतना	ii t aa n AA
इतनी	ii t aa n II
इतने	ii t aa n ee
इताय	ii t AA y
इत्रा	ii t r AA
इथं	ii th aa q
इथली	ii th aa l II
इद	ii d
इधर	ii dh aa r
इन	ii n
इनका	ii n aa k AA
इनके	ii n aa k ee
इनको	ii n aa k oo
इनजाम	ii n aa j AA m
इनट	ii n aa T
इनटी	ii n aa T II
इनदजाम	ii n aa d aa j AA m
इनविटेड	ii n aa w ii T ee D
इनवियस	ii n aa w ii y aa s
इनविस	ii n aa w ii s
इनस	ii n aa s
इनसंट्लि	ii n aa s aa q T l ii
इनसे	ii n aa s ee
इनसेकयॉर	ii n aa s ee k aa y OO r
इनसेकयॉरिटी	ii n aa s ee k aa y OO r ii T II
इनसेड	ii n aa s ee D
इनिन्ग	ii n ii n g
इने	ii n ee
इनो	ii n oo
इनोकेंट	ii n oo k ee q T
इनोक्टेडलि	ii n oo k T ee D aa l ii
इनोटेड	ii n oo T ee D
इनौगरल	ii n OO g aa r aa l
इनौट	ii n OO T
इन्जी	ii n j II
इन्जुर्ड	ii n j uu r D
इन्जो	ii n j oo
इन्ट	ii n T
इन्टेर	ii n T ee r
इन्डीडेर	ii n D II D ee r
इन्डेट	ii n D ee T
इन्डेड	ii n D ee D
इन्पाटिंग	ii n p AA T ii q g
इन्फर्मेशन	ii n ph aa r m ee sh aa n
इन्फ़्लुएन्स	ii n ph l uu ee n s
इन्विटेड	ii n w ii T ee D
इन्वोस	ii n w oo s
इन्स	ii n s
इन्सके	ii n s aa k ee
इन्सोनेटली	ii n s oo n ee T aa l II
इन्होने	ii n hh oo n ee
इफ	ii ph
इफेक्ट	ii ph ee k T
इफ्लेक्टिव	ii ph l ee k T ii w
इब्ले	ii b l ee
इम	ii m
इमजरी	ii m aa j aa r II
